duration,orig_bytes,resp_bytes,proto,conn_state,label,label_enc
1.4482816219567317e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.002034080519649271,4.31904427473033e-06,0.0,2,4,Benign,0
2.154354268931022e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
4.6578953086814205e-07,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
0.004877177244114976,8.63808854946066e-06,0.0,2,4,Benign,0
3.428841588898394e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4133375771471647e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4514399040465984e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1541005916547273e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
5.102211058111233e-07,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
3.4290191629917993e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.3912042347904698e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4513511169998952e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1535932371021383e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.02071331187244478,3.455235419784264e-05,0.0,2,4,Benign,0
4.435547176009293e-08,0.0,0.0,1,8,Benign,0
2.3229735544839748e-06,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
3.4543615228936196e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.388058636564418e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.009716455597822242,1.619641603023874e-05,0.0,2,4,Benign,0
0.0006449899112410231,2.159522137365165e-06,0.0,2,4,Benign,0
1.1218243350933427e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.3849003544745516e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
6.399516649081294e-07,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
5.069740366745537e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.3165641797329935e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.436815562390766e-08,0.0,0.0,1,8,Benign,0
5.861086630146223e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.4512369622255628e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1863176057441288e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.0006452031143078847,2.159522137365165e-06,0.0,2,4,Benign,0
3.416373350768519e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.4317420168648754e-08,0.0,0.0,1,8,Benign,0
4.593207603226324e-07,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
0.018782397157299416,3.0233309923112314e-05,0.0,2,4,Benign,0
4.4330104032463485e-08,0.0,0.0,1,8,Benign,0
2.53849776842378e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.391331073428617e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.473585930267108e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1221372548416208e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
3.805528244854475e-05,0.0,0.0,1,8,Benign,0
1.517979453618645e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
0.013100899452326313,2.1595221373651654e-05,0.0,2,4,Benign,0
0.0006447281416596147,2.159522137365165e-06,0.0,2,4,Benign,0
3.4259243002210067e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.004088908948578482,7.558327480778078e-06,0.0,2,4,Benign,0
1.134533566635697e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.4577945198177753e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
2.2881309805849257e-06,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
4.7577173169033057e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.3165641797329935e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
9.500213997228941e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.4330104032463485e-08,0.0,0.0,1,8,Benign,0
7.85892201960354e-07,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
1.3911281316075814e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4514399040465984e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1209957070982955e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.118450580641171e-08,0.0,0.0,1,8,Benign,0
5.355507818491289e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
0.020847794529907024,3.3472593129160066e-05,0.0,2,4,Benign,0
3.4228674890416583e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
0.0013952158618700636,3.239283206047748e-06,0.0,2,4,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
4.436688723752618e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3849891415212545e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.435547176009293e-08,0.0,0.0,1,8,Benign,0
1.362652857343524e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
2.1539737530165804e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4513891685913394e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
3.4226138117653636e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.1915855860743296e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.603557482776594e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
5.005306338566735e-07,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
5.389373734876605e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.3165641797329935e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.1209873534041156e-08,0.0,0.0,1,8,Benign,0
5.925901174239468e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
4.748838612232998e-08,0.0,0.0,1,8,Benign,0
6.497182400454677e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3911534993352109e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1548616234836113e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4513257492722657e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.1171821942596983e-08,0.0,0.0,1,8,Benign,0
5.133032847181015e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
3.4576212758940042e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.4393523351537106e-08,0.0,0.0,1,8,Benign,0
2.494066193480799e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3912169186542845e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.154734784845464e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4482562542291024e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.1979402018455068e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.441952373913184e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
2.6684059016141923e-06,9.14128930227558e-07,5.259774137988319e-07,1,8,Benign,0
2.5447635971482542e-06,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
5.072277139508483e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
9.500213997228941e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
2.503502988158954e-06,2.3497985040332213e-08,3.684813520398597e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
5.007335756777091e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
3.451101769893236e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
4.912206778166654e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3910520284246932e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.4330104032463485e-08,0.0,0.0,1,8,Benign,0
1.3247788399927557e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
2.1539737530165804e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4735605625394785e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
3.425949667948636e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.118450580641171e-08,0.0,0.0,1,8,Benign,0
1.3626909089349682e-06,1.948613393588525e-08,9.241750039064223e-07,2,8,Benign,0
1.131349916818201e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.3944005684717805e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
7.064912144801762e-07,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
6.024835311994322e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.303880315918268e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
1.5401381637029695e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3942990975612626e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1525785279969606e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4481547833185845e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
5.383031802969242e-08,0.0,0.0,1,8,Benign,0
4.3742841137841713e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
3.4226645472206225e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
1.5274796676158739e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3880205849729738e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.1544811075691691e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.4330104032463485e-08,0.0,0.0,1,8,Benign,0
2.5511689483746904e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.4545728184088354e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
3.419468213539312e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.1218497028209722e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.4926751453082688e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
1.327746864125401e-06,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
5.073545525889955e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.3165641797329935e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
1.3595326268451018e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
4.436815562390766e-08,0.0,0.0,1,8,Benign,0
1.4164451237817722e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.5943491509696486e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
2.1541005916547273e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
1.4483830928672496e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
3.4290191629917993e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.752643771377415e-08,0.0,0.0,1,8,Benign,0
1.3563616608914205e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
4.751375384995943e-08,0.0,0.0,1,8,Benign,0
2.4846293988026438e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.1377045325893783e-06,1.0585555699876487e-06,4.573329038623743e-06,1,8,Benign,0
1.3975842182892763e-06,1.0585555699876487e-06,2.350554431157492e-06,1,8,Benign,0
1.571873190967411e-06,2.1205498694933948e-08,5.319206614123781e-07,2,8,Benign,0
5.073545525889955e-08,2.1205498694933948e-08,1.3134577225936934e-06,2,8,Benign,0
6.303880315918268e-09,2.1205498694933948e-08,2.9716238067730623e-07,2,8,Benign,0
6.329248043547719e-09,2.1205498694933948e-08,3.922543424940442e-07,2,8,Benign,0
4.440620721535183e-08,0.0,0.0,1,8,Benign,0
2.573353026186644e-06,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
4.118450580641171e-08,0.0,0.0,1,8,Benign,0
6.241222028673528e-07,1.948613393588525e-08,8.825722706115994e-07,2,8,Benign,0
1.3849384060659956e-06,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
2.2179004266427936e-07,2.7509836144779176e-08,1.4263794272510699e-07,2,8,Benign,0
4.434278789627821e-08,0.0,0.0,1,8,Benign,0
