duration,orig_bytes,resp_bytes,proto,conn_state,label,label_enc,anomaly_score,lof_pred,iso_pred,rf_pred,xgb_pred,ensemble_pred
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.795440767962624e-05,0.0,0.0,1,4,Malicious,1,-0.40616497070998225,1,1,1,1,1
1.647633909532763e-07,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,-0.44333888912979796,1,1,0,0,0
6.379983498806618e-09,0.0,0.0,1,4,Malicious,1,-0.351576245401008,0,0,1,1,1
2.2146026220509656e-08,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,-0.4113780770164763,0,1,0,0,0
6.341931907362444e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.4513891685913394e-06,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,-0.5464637466773425,0,1,0,0,0
1.2882581909110182e-05,2.9802322490177445e-08,3.684813520398597e-07,1,3,Benign,0,-0.5782345997507651,1,1,0,0,0
3.793935193327816e-05,0.0,0.0,1,4,Malicious,1,-0.4130804274962295,0,1,1,1,1
3.2090175451253963e-09,0.0,0.0,1,4,Malicious,1,-0.351576245401008,0,0,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.282719147583128e-06,3.662246936773728e-07,0.0,2,4,Benign,0,-0.658358336461419,1,1,0,0,0
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.805159144417466e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.7991761658560606e-05,0.0,0.0,1,4,Malicious,1,-0.39451466978512245,0,1,1,1,1
3.9497374344959895e-05,0.0,0.0,1,4,Malicious,1,-0.3769840676092563,0,1,1,1,1
3.9766589354427435e-05,0.0,0.0,1,4,Malicious,1,-0.38054596522915457,1,1,1,0,1
3.9893377257119416e-05,0.0,0.0,1,4,Malicious,0,-0.3856328876147675,1,1,1,1,1
5.073545525889955e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
0.0001259675611159,1.6505901686867506e-07,8.558276563506419e-07,2,8,Benign,0,-0.7230104555029468,1,1,0,0,0
3.80328446934565e-05,0.0,0.0,1,4,Malicious,1,-0.3922500080349288,0,1,1,1,1
3.9541476139443695e-05,0.0,0.0,1,4,Malicious,1,-0.37558362746518587,1,1,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
2.2031871446177133e-08,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,-0.4113780770164763,0,1,0,0,0
3.805159144417466e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.0773673924227321e-07,2.5790471385730482e-08,1.337230713047878e-07,2,8,Benign,0,-0.42988005221587655,1,1,0,0,0
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.8153480922198345e-05,3.4387295180973976e-08,0.0,2,4,Benign,0,-0.593943480843733,1,1,0,0,0
3.1620872490109146e-08,2.7509836144779176e-08,1.42637942725107e-07,2,8,Benign,0,-0.4108906061709491,1,1,0,0,0
7.40052464456662e-05,3.375686143598945e-07,5.351894475998285e-06,1,8,Malicious,1,-0.7459897483939986,1,1,1,1,1
5.073545525889955e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
6.316564179732993e-09,1.662052600413742e-08,1.337230713047878e-07,2,8,Benign,0,-0.4196371853844054,0,1,0,0,0
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.939269441689697e-05,0.0,0.0,1,4,Malicious,1,-0.378521928351366,0,1,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.220204713009984e-06,0.0,0.0,1,8,Benign,0,-0.5778113813952962,1,1,0,0,0
1.2683863814724887e-11,0.0,0.0,1,4,Malicious,1,-0.3510226749014284,0,0,1,1,1
3.803300958368609e-05,0.0,0.0,1,4,Malicious,1,-0.3922500080349288,1,1,1,1,1
6.291196452103545e-09,1.662052600413742e-08,1.337230713047878e-07,2,8,Benign,0,-0.4196371853844054,0,1,0,0,0
